,term,weight
0,00,0.002377955773543494
1,05,0.000623861862416312
2,07,0.0007310936586151493
3,100,0.0012296520714989083
4,11,0.005100668484613897
5,11am,0.0007912025994095812
6,12,0.0053788024590822655
7,13,0.002018856011792746
8,14,0.0012933639143472145
9,15,0.008971290391853511
10,16,0.0013187011212087985
11,17,0.0016184477834882748
12,19,0.0024347776140825356
13,1st,0.0011481504584792614
14,20,0.01291736812198663
15,200,0.0014207845449251983
16,2019,0.0038040454274145034
17,2020,0.002228534380384132
18,22,0.000724646505348101
19,24,0.001229753580007284
20,25,0.00419124498519616
21,26,0.0010872759479609022
22,27,0.002044400331587486
23,29,0.0009595705093604612
24,2nd,0.0009301695755319284
25,30,0.012234480301066289
26,30pm,0.001615751699458426
27,31,0.0008017452805920973
28,35,0.0016296752967867732
29,3pm,0.0009399106451467954
30,3rd,0.0014269296924198792
31,40,0.00490721275346108
32,45,0.008508666418134048
33,45pm,0.0010826445882803277
34,49,0.0005491865261515048
35,50,0.004567780421565102
36,55,0.0004873276663077081
37,5pm,0.0008416241893723882
38,65,0.0007057572268155326
39,6pm,0.0008389146995964002
40,82nd,0.0012187100401035446
41,8pm,0.0010600624208876208
42,99,0.005728853332870711
43,able,0.0061509446896807615
44,absolute,0.0013871579932249044
45,absolutely,0.006864358974718382
46,accessible,0.0012711710868968972
47,accurate,0.001181087718533933
48,acknowledge,0.0015429980268478734
49,act,0.001235239687194517
50,active,0.0006579332759479748
51,actual,0.0015380038781869433
52,actually,0.006640477948689691
53,add,0.00391774930323888
54,added,0.0036357192449808576
55,additional,0.0009563146149394438
56,admit,0.001230915143901996
57,advertise,0.0016874646775402941
58,advertised,0.0014231988376903965
59,advertising,0.0024844665885433766
60,advise,0.0009198359330339293
61,afraid,0.0012099968256061857
62,afternoon,0.0024003914806721214
63,ago,0.0035306393799870517
64,ahead,0.004376291224560133
65,ain,0.0016243023277358565
66,air,0.0011980982609428941
67,al,0.0007235961878694608
68,alas,0.0007931714130065971
69,allow,0.002188632903121444
70,allowed,0.001187935268051063
71,alright,0.0005522433944331318
72,amazing,0.007945182488162015
73,angry,0.0007006772410078489
74,annoyed,0.0005120778077763134
75,answer,0.0014271093706800437
76,answered,0.002494556969199084
77,anticipation,0.001048715653364298
78,anymore,0.002133929154382985
79,anyways,0.0008242396090627235
80,apart,0.001783640996271922
81,apologize,0.001135375636815083
82,apologized,0.0004551833747312934
83,apology,0.0009020448243309093
84,app,0.0017901459307046283
85,apparently,0.002052458411968992
86,appear,0.0005377339994518333
87,appeared,0.002266390992861042
88,appears,0.0008567269347598883
89,apple,0.005668340335836979
90,appreciate,0.0010905057101391557
91,appreciated,0.0011512597864149015
92,approached,0.0007851983164399824
93,approximately,0.0008940264299782559
94,area,0.0086426811935238
95,aren,0.0031470547344999837
96,argued,0.0014142411228558957
97,arguing,0.0014059319840503135
98,aroma,0.0009019745912702878
99,arrived,0.004547118740490647
100,ask,0.008181575353494914
101,asking,0.0037363018421249774
102,asks,0.000564429949591536
103,assume,0.0007601244073182823
104,ate,0.003419027016109184
105,atlanta,0.0016123914407306188
106,attached,0.0016521554898671729
107,attempt,0.0028612119355018815
108,attempted,0.0009820838376595534
109,attention,0.003302354601757548
110,attentive,0.0012529404980320272
111,attitude,0.004094673943758724
112,august,0.0011478608554213849
113,austin,0.0019738445788671584
114,available,0.006612285875260761
115,average,0.0020058722469455427
116,avoid,0.0039360430753681295
117,away,0.00798535307051972
118,awesome,0.007199420198250773
119,awful,0.0048074204197206686
120,awhile,0.002628045406373419
121,bad,0.013343643387484082
122,bag,0.010450855283335659
123,bags,0.000713647613035405
124,bait,0.0009024128762560554
125,balance,0.0007022964050404748
126,bandwagon,0.0007711857696750238
127,bar,0.0012100088566242477
128,barely,0.002895921747298342
129,base,0.0008056009329350393
130,based,0.0011008112413024244
131,basic,0.0015267321008975772
132,basically,0.0029189611164216417
133,batch,0.0016986034916763905
134,batter,0.002376506083408417
135,battle,0.0007029994299620139
136,bbq,0.001273436541739211
137,bc,0.0014174441623119882
138,bean,0.009569237108807551
139,beans,0.0035723224586133025
140,beat,0.0023211319368695903
141,beer,0.001338152097986961
142,began,0.0010551283348206595
143,begin,0.000670654565290206
144,believe,0.00337672599688334
145,benefit,0.0007388918042792474
146,best,0.016994795112403722
147,big,0.008931626041469732
148,bigger,0.0027496847629153334
149,biggest,0.002388769508136438
150,bin,0.0013673498725688576
151,biscuit,0.012119191863032489
152,biscuits,0.004083398548535182
153,bit,0.00547841659431066
154,bitch,0.0012814476946380704
155,bite,0.008162646255564465
156,biting,0.000446003830894395
157,bizarre,0.0009669488427228863
158,black,0.0024626240800472705
159,blackened,0.0018031468670768446
160,bland,0.0026032499887482397
161,blew,0.0009020774462843361
162,block,0.0017816981415683724
163,blow,0.000755044820264134
164,blown,0.0013485542559673273
165,bomb,0.0022973453444186717
166,bone,0.005188226972911541
167,boneless,0.0009938790664607143
168,bonus,0.0011346967396784293
169,border,0.0007938424259287783
170,boston,0.001257209559906286
171,bother,0.001225309090276505
172,bottoms,0.0019864588113437695
173,bought,0.0016168758835362032
174,bowl,0.000773623685352328
175,box,0.005964441750388175
176,boy,0.003217084819609395
177,boyfriend,0.0017373627373422763
178,brand,0.002303535230698139
179,bread,0.0066555058658071715
180,breaded,0.0024993574553737073
181,breading,0.007402512772388655
182,break,0.0024100238981635495
183,breast,0.00668678377766958
184,brew,0.001159731772134179
185,briarcliff,0.0003434501957833402
186,bright,0.00125847275388771
187,brilliant,0.0008576516350434814
188,bring,0.0022838776342813884
189,brioche,0.0018199340062331894
190,broad,0.001194381540236475
191,brockton,0.0012106834726510424
192,broke,0.0011634012466101718
193,broken,0.0015678644619443651
194,brother,0.0008099084737299663
195,brought,0.0008952971047285608
196,brown,0.0013932918772259781
197,btw,0.001975283793896808
198,buck,0.0010185804421175629
199,buffalo,0.0012236440490254207
200,building,0.0027062490717487397
201,bummed,0.0008661749939552577
202,bunch,0.0018563519849758969
203,burger,0.0014527160376449331
