Term,Frequency
cold,37
minutes,29
time,29
tasted,18
dry,17
waited,16
wait,16
small,15
soggy,14
wrong,14
half,12
hard,11
burnt,11
old,11
but,10
long,10
raw,9
line,9
plain,9
gross,9
